,prompt,summary
822,Debby was placing her spare change into stacks. One stack had 4 coins and the other had 8. How many coins did she have total?,"var1 = find(stack 1), var2 = find(stack 2), var3 = add(var1, var2), CALL, return(var3)"
2203,You have collected 7 crickets. How many more crickets do you need to collect to have 11 crickets?,"var1 = find(crickets collected), var2 = find(crickets needed to have 11), return(var2)"
925,"A teacher had 38 worksheets to grade. If she graded 4, but then another 15 were turned in, how many worksheets would she have to grade?","var1 = find(worksheets), var2 = find(graded worksheets), var1 = subtract(var1, var2), CALL, var2 = find(newly turned in worksheets), var1 = add(var1, var2), CALL, return(var1)"
898,For Gwen's birthday she received five dollars. If she spent three dollars. How much money did she still have?,"var1 = find(total gift), var2 = find(spent money), var3 = subtract(var1, var2), CALL, return(var3)"
240,Luke played a trivia game and gained 3 points in each round of a game. If he scored 78 points in the trivia gameHow many rounds did he play?,"var1 = find(total points), var2 = divide(var1, 3), CALL, return(var2)"
2293,There are 46 birds perched on the branches of a tree. How many feet are there on the branches?,"var1 = find(birds on branches), var2 = multiply(var1, 2), CALL, return(var2)"
866,"Paul bought six boxes of chocolate candy and four boxes of caramel candy. If each box has nine pieces inside it, how much candy did he have total?","var1 = find(boxes of chocolate candy), var2 = find(boxes of caramel candy), var1 = add(var1, var2), CALL, var2 = find(pieces per box), var3 = multiply(var1, var2), CALL, return(var3)"
1831,"Kate, Maggie, and Sue added up their ages. The total was 48. Kate is 19 and Maggie is 17. How old is Sue?","var1 = find(Kate's age), var2 = find(Maggie's age), var3 = subtract(48, var1), CALL, var3 = subtract(var3, var2), CALL, return(var3)"
1330,Alyssa has 30 books in her library. She bought several books at a yard sale over the weekend. She now has 88 books in her library. How many books did she buy at the yard sale ?,"var1 = find(books before), var2 = find(books after), var3 = subtract(var2, var1), return(var3)"
2082,There were 14 kids on the soccer field. 22 kids decided to join in. Now how many kids are on the soccer field?,"var1 = find(kids on soccer field), var2 = find(kids joining the soccer field), var3 = add(var1, var2), CALL, return(var3)"
1590,"If Tom plans to fix 158 watches at the rate of 12 watches per day, how many watches will he fix on the last day?","var1 = find(watches for Tom), var2 = find(watches per day), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, var4 = multiply(var2, var3), CALL, var5 = subtract(var1, var4), CALL, return(var5)"
1123,"It takes 4 ounces of cheese to make a burrito and 9 ounces for a taco. If you wanted 7 burritos and 1 taco, how many ounces of cheese would you need?","var1 = find(cheese per burrito), var2 = find(burritos), var1 = var1 * var2, CALL, var2 = find(cheese per taco), var3 = find(tacos), var2 = var2 * var3, CALL, var1 = add(var1, var2), CALL, return(var1)"
1031,Carol was helping her mom plant vegetables in the garden. Together they planted 6 rows of potatoes with 9 seeds in each row. How many potatoes did they plant total?,"var1 = find(rows planted), var2 = find(seeds per row), var3 = multiply(var1, var2), CALL, return(var3)"
616,Because of the decision Sofia asked the students to suggest specific types of food. If 324 students suggested adding mashed potatoes 374 suggested adding bacon to the menu and 128 suggested adding tomatoesHow many students participated in the suggestion of new food items?,"var1 = find(students suggested mashed potatoes), var2 = find(students suggested bacon), var3 = find(students suggested tomatoes), var4 = add(var1, var2, var3), CALL, return(var4)"
1921,Maggi had 3 packages of cupcakes. There are 4 cupcakes in each package. She ate 5 cupcakes. How many are left?,"var1 = find(cupcakes per package), var2 = find(number of packages), var3 = multiply(var1, var2), CALL, var4 = find(cupcakes eaten), var5 = subtract(var3, var4), CALL, return(var5)"
1216,"Carmen did 4 sit-ups on Sunday, 8 sit-ups on Monday, 16 sit-ups on Tuesday, 32 sit-ups on Wednesday, and 64 sit-ups on Thursday. If this pattern continues, how many sit-ups will Carmen do on Friday?","var1 = find(""sit-ups on Sunday""), var2 = find(""sit-ups on Monday""), var3 = find(""sit-ups on Tuesday""), var4 = find(""sit-ups on Wednesday""), var5 = find(""sit-ups on Thursday""), var6 = multiply(var5, 2), return(var6)"
1015,"Jason and Lexi are shelving books at a public library. Jason shelves 6 books at a time, whereas Lexi shelves 17 at a time. If they end up shelving the same number of books, what is the smallest number of books each could have shelved?","var1 = find(Jason shelves 6 books), var2 = find(Lexi shelves 17 books), var3 = gcd(var1,var2), CALL, return(var3)"
1906,Mom made 32 chocolate chip cookies. It took 24 minutes to mix the ingredients and 16 minutes to bake. Julie and Matt ate 9 cookies after dinner. How many cookies were left?,"var1 = find( cookies made), var2 = find( cookies eaten), var3 = subtract(var1, var2), return(var3)"
1638,"A committee organizing a marathon has 16 jugs of water and 12 jugs of sports drink. The committee would like to set up a number of refreshment stations along the marathon course, with the same combination of jugs of water and jugs of sports drink at each station, with no beverages left over. What is the greatest number of refreshment stations that can be set up?","var1 = find(jugs of water), var2 = find(jugs of sports drink), var3 = gcd(var1, var2), return(var3)"
1181,Rebecca wants to split a collection of eggs into groups of 2. Rebecca has 16 eggs and 3 marbles. How many groups will be created?,"var1 = find(eggs), var2 = find(group size), var3 = divide(var1, var2), CALL, var4 = multiply(var3, var2), CALL, var5 = subtract(var1, var4), CALL, return(var3)"
859,"There were nine kinds of sandwiches on the menu. Unfortunately, five of them had been sold out, how many kinds of sandwiches do they actually provide now?","var1 = find(total sandwiches), var2 = find(sold out sandwiches), var3 = subtract(var1, var2), CALL, return(var3)"
199,Jerry had 8 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed 5 old ones.How many action figures were on his shelf in all?,"var1 = find(original figures), var2 = add(var1, 4), CALL, var3 = subtract(var2, 5), CALL, return(var3)"
1719,The music room has 27 violins. There are also 15 flutes. 18 students are in the school band. How many instruments are in the music room?,"var1 = find(violins), var2 = find(flutes), var3 = add(var1, var2), return(var3)"
1231,"Robin bought 11 sodas for her and her friends. If they only drank 3 of them, how many extras did she have?","var1 = find(total sodas), var2 = find(drunk sodas), var3 = subtract(var1, var2), CALL, return(var3)"
2359,The ratio of the length of Joey's rope to Chad's rope is 8:3. Joey's rope is 56 cm long. How long is Chad's rope?,"var1 = find(Joey rope length), var2 = find(Joey to Chad ratio), var3 = find(Chad to Joey ratio), var4 = multiply(var1, var3), var5 = divide(var4, var2), return(var5)"
362,Paul had 51 books and 106 pens. After selling some books and pens in a garage sale he had 82 books and 14 pens left.How many pens did he sell in the garage sale?,"var1 = find(initial book count), var2 = find(books after sale), var3 = subtract(var1, var2), var4 = find(initial pen count), var5 = find(pens after sale), var6 = subtract(var4, var5), CALL, return(var6)"
1153,"Linda buys strawberry gum in packs of 6 pieces and blueberry gum in packs of 5 pieces. If Linda wants to buy the same amount of each type of gum, what is the smallest number of pieces of each flavor that she must buy?","var1 = find(""strawberry gum pack""), var2 = find(""blueberry gum pack""), var3 = find_lcm(var1, var2), return(var3)"
1305,"Debby had twelve pounds of flour. If she bought another four pounds, how many pounds would she have total?","var1 = find(starting flour), var2 = find(new flour), var1 = add(var1, var2), CALL, return(var1)"
1732,Elizabeth studied 25 minutes for her science test. She studied 35 minutes for her math test. How long did Elizabeth study altogether?,"var1 = find(science minutes), var2 = find(math minutes), var3 = add(var1, var2), return(var3)"
1691,A DVD book holds 126 DVDs. There are 81 DVDs already in the book. How many more DVDs can be put in the book?,"var1 = find(DVDs in book), var2 = find(total DVDs in book), var3 = subtract(var2, var1), CALL, return(var3)"
1260,"If one cartridge costs 15 dollars, how many ink cartridges can you buy with 180 dollars?","var1 = find(cost of one cartridge), var2 = find(amount of money), var1 = divide(var2, var1), CALL, return(var1)"
1559,"Harry Hound had a terrible earache yesterday. When I peered into his ears yesterday, I found 36 frisky fleas having a party in his right ear and 85 baby fleas sleeping peacefully in his left ear. I cleaned out Harry Hound's ears. How many fleas perished?","var1 = find(fleas in right ear), var2 = find(fleas in left ear), var3 = add(var1, var2), CALL, return(var3)"
3,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus.How many children got off the bus at the bus stop?,"var1 = find(children on the bus), var2 = find(children left on the bus), var1 = subtract(var1, var2), CALL, return(var1)"
12,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds.How much did his dad's strawberries weigh now?,"var1 = find(total strawberries), var2 = find(Marco's strawberries), var1 = subtract(var1, var2), CALL, var3 = find(strawberries lost), var4 = subtract(var1, var3), CALL, return(var4)"
1527,Frannie and Meg are in a jump rope contest. Frannie jumped 53 times without missing. She jumped 18 fewer times than Meg. How many times did Meg jump?,"var1 = find(Frannie jumps), var2 = find(jumps Meg more than Frannie), var3 = add(var1, var2), CALL, return(var3)"
993,A book had a length of 2 inches and a width of 3 inches. What is the area of the book?,"var1 = find(length), var2 = find(width), var3 = multiply(var1, var2), CALL, return(var3)"
2111,"Professor Treehead of the Flora University requested his students to participate. He said that they planted 15 species of trees in the natural park, 20 species of trees in the neighboring forest and 10 species of trees all around different locations in town. How many species of trees were planted by the students?","var1 = find(species of trees in natural park), var2 = find(species of trees in neighboring forest), var1 = add(var1, var2), CALL, var2 = find(species of trees all around town), var1 = add(var1, var2), CALL, return(var1)"
614,He then went to see the oranges being harvested. He found out that they harvest 5 sacks of ripe oranges and 74 sacks of unripe oranges per day.How many more sacks of unripe oranges than ripe oranges are harvested per day?,"var1 = find(ripe oranges harvested per day), var2 = find(unripe oranges harvested per day), var3 = subtract(var2, var1), CALL, return(var3)"
2103,"If books came from all the 4 continents that Bryan had been into and he collected 122 books per continent, how many books does he have from all 4 continents combined?","var1 = find(books per continent), var2 = find(number of continents), var1 = multiply(var1, var2), CALL, return(var1)"
2124,There are 250 vitamins in a bottle. Gil takes 12 vitamins per day. How many vitamins short of his usual 12 vitamins is Gil on the day the bottle runs out?,"var1 = find(vitamins in bottle), var2 = find(vitamins taken per day), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, var4 = multiply(var2, var3), CALL, var5 = subtract(var1, var4), CALL, var5 = subtract(var2, var5), CALL, return(var5)"
1818,"Jane's dad brought home 24 marble potatoes. If Jane's mom made potato salad for lunch and served an equal amount of potatoes to Jane, herself and her husband, how many potatoes did each of them have?","var1 = find(potatoes), var2 = find(persons), var1 = divide(var1, var2), CALL, return(var1)"
1446,Last Thursday Drew had $30. Over the weekend he received some money for cutting the grass. He now has $61. How much money did he get paid for cutting the grass?,"var1 = find(money before), var2 = find(money after), var3 = subtract(var2, var1), return(var3)"
1348,Will was picking up sticks from his yard. He picked up thirty-eight but there were still sixty-one left. How many sticks were originally in the yard? ,"var1 = find(left sticks), var2 = find(picked sticks), var3 = add(var1, var2), CALL, return(var3)"
1238,Abe is going to plant 54 oak trees and 27 pine trees. Abe would like to plant the trees in rows that all have the same number of trees and are made up of only one type of tree. What is the greatest number of trees Abe can have in each row?,"var1 = find(oak trees), var2 = find(pine trees), var3 = gcd(var1,var2), CALL, return(var3)"
344,Ed had 2 more marbles than Doug. Doug lost some of his marbles at the playground. Now Ed has 19 more marbles than doug.How many marbles did Doug lose?,"var1 = find(initial difference), var2 = find(final difference), var3 = subtract(var2, var1), CALL, return(var3)"
144,A grocery store had a total of 30 bottles of which 28 were bottles of regular soda and the rest were bottles of diet soda.How many bottles of diet soda did they have?,"var1 = find(total bottles), var2 = find(regular soda bottles), var3 = subtract(var1, var2), CALL, return(var3)"
833,"There were 17 girls and 32 boys trying out for the schools basketball team. If only 10 of them got called back, how many students didn't make the cut? ","var1 = find(girls trying out), var2 = find(boys trying out), var3 = add(var1, var2), CALL, var4 = subtract(var3, 10), CALL, return(var4)"
1546,I see 115 cows grazing in the pasture. How many legs do I see?,"var1 = find(cows in pasture), var2 = multiply(var1, 4), CALL, return(var2)"
1609,"I have 80 cents to buy candy. If each gumdrop costs 4 cents, how many gumdrops can I buy?","var1 = find(money available), var2 = find(cost of gumdrop), var3 = divide(var1, var2), CALL, return(var3)"
960,A recipe for cookies calls for 3 cups of sugar. Katie has already put in half a cup. How many more cups does she need to put in?,"var1 = find(total sugar required), var2 = find(sugar added), var3 = subtract(var1, var2), return(var3)"
1198,There were forty-seven bales of hay in the barn and forty bales in the shed. Benny stacked more bales in the barn today. There are now eighty-two bales of hay in the barn. How many bales did he store in the barn ?,"var1 = find(original hay in barn), var2 = find(final hay in barn), var1 = subtract(var2, var1), CALL, return(var1)"
1608,"Tyler, an animal rights advocate, decided to build his own animal sanctuary to protect different animals from poachers. The sanctuary was divided into different regions. The first region to be built was a bird sanctuary. Initially, he had 29 endangered bird species on that region. If each species has 7 pairs of birds, how many pairs does he have in total?","var1 = find(species of birds), var2 = find(pairs per species), var1 = multiply(var1, var2), CALL, return(var1)"
2035,"For the final act, the circus brought out dancing animals wearing crowns. If each crown is made with 7 different colored feathers, how many feathers are needed for 934 crowns?","var1 = find(feathers per crown), var2 = find(number of crowns), var1 = multiply(var1, var2), CALL, return(var1)"
2196,35 campers went rowing in the morning. 27 campers went rowing in the afternoon. How many campers went rowing in all?,"var1 = find(morning rowers), var2 = find(afternoon rowers), var3 = add(var1, var2), CALL, return(var3)"
2198,The Hawks scored three touchdowns worth 7 points each. How many points do they have?,"var1 = find(points per touchdown), var2 = find(number of touchdowns), var3 = multiply(var1, var2), CALL, return(var3)"
384,Frank had 33 pieces of candy. He lost 24 of them. If he put the remaining pieces into bags with 9 pieces in each bagHow many bags would he have?,"var1 = find(initial candies), var2 = find(candies lost), var3 = subtract(var1, var2), var4 = find(candies per bag), var5 = divide(var3, var4), CALL, return(var5)"
187,Lucy went to the grocery store. She bought 2 packs of cookie and 12 packs of cake. In the end she had 56 amount of change remaining.How many packs of groceries did she buy in all?,"var1 = find(cookie), var2 = add(var1, 12), CALL, var3 = divide(56, 14), CALL, return(var2)"
1374,"A pet store had 2 white cats, 10 black cats and 3 gray cats. How many cats did they have total? ","var1 = find(white cats), var2 = find(black cats), var3 = find(gray cats), var4 = add(var1, var2), CALL, var5 = add(var4, var3), CALL, return(var5)"
1354,"Frank got fifteen pounds of mushroom for family barbecue. If they ate eight pounds, how many pounds were left?","var1 = find(total mushroom), var2 = find(eaten mushroom), var3 = subtract(var1, var2), CALL, return(var3)"
2139,Carla has some marbles. She bought 134 marbles. Now she has 187 marbles. How many did she start with?,"var1 = find(total marbles now), var2 = find(bought marbles), var1 = subtract(var1, var2), return(var1)"
1568,Pinky the Pig bought 36 apples while Danny the Duck bought 73. How many apples do they have altogether?,"var1 = find(Pinky apples), var2 = find(Danny apples), var1 = add(var1, var2), CALL, return(var1)"
1685,The Greene family went to the amusement park. They spent $45 on admission tickets. They spent $13 less than that on food. How much did the Greene family spend in all?,"var1 = find(admission tickets), var2 = subtract(var1, 13), CALL, var3 = add(var1, var2), CALL, return(var3)"
42,Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winterHow many more bird families flew away for the winter than those that stayed behind?,"var1 = find(bird families), var2 = find(families flew away), var3 = subtract(var1, var2), CALL, var4 = subtract(var2, var3), CALL, return(var4)"
907,"Hay's Linens sells hand towels in sets of 17 and bath towels in sets of 6. If the store sold the same number of each this morning, what is the smallest number of each type of towel that the store must have sold? ","var1 = find(hand towels), var2 = find(bath towels), var3 = lcm(var1,var2), CALL, return(var3)"
1951,Mary's mom is getting ready for Mary's birthday party. She blew up 6 balloons this morning and 5 balloons this afternoon. How many balloons did she blow up in all?,"var1 = find(morning balloons), var2 = find(afternoon balloons), var3 = add(var1, var2), CALL, return(var3)"
1011,An envelope from the post office is 6 inches wide with a total area of 36 square inches. What is the height of the envelope?,"var1 = find(width of envelope), var2 = find(area of envelope), var2 = divide(var2, var1), CALL, return(var2)"
1702,Coach Mike bought several cups of lemonade. The girls told him it would cost 58 cents. The coach gave the girls 75 cents. How much change did Coach Mike get back?,"var1 = find(cost of lemonade), var2 = find(amount given by Coach Mike), var3 = subtract(var2, var1), CALL, return(var3)"
1617,"A restaurant has 94 pieces of cutlery. 38 are forks, 27 are knives, and the rest are spoons. How many spoons are there?","var1 = find(forks), var2 = find(knives), var3 = add(var1, var2), CALL, var4 = find(total cutlery), var5 = subtract(var4, var3), CALL, return(var5)"
1496,The school is planning a field trip. There are 60 students and 10 seats on each school bus. How many buses are needed to take the trip?,"var1 = find(students), var2 = find(seats per bus), var3 = divide(var1, var2), CALL, var4 = multiply(var3, var2), CALL, var5 = subtract(var1, var4), CALL, return(var3)"
1035,A pet store had forty-five puppies. In one day they sold thirty-nine of them and put the rest into cages with two in each cage. How many cages did they use?,"var1 = find(puppies), var2 = find(sold), var1 = subtract(var1, var2), CALL, var2 = find(puppies per cage), var3 = divide(var1, var2), CALL, return(var3)"
283,"Frank was reading through his favorite book. The book had 41 chapters, each with the same number of pages. It has a total of 450 pages. It took Frank 30 days to finish the book.How many pages did he read per day?","var1 = find(pages in book), var2 = find(chapters in book), var3 = divide(var1, var2), var4 = find(days to finish book), var5 = divide(var1, var4), CALL, return(var5)"
1773,There were 86 trees in a park. 15 of them died and another 23 of them were cut. How many trees were still left?,"var1 = find(dead trees), var2 = find(cut trees), var3 = add(var1, var2), CALL, var4 = find(total trees), var5 = subtract(var4, var3), CALL, return(var5)"
1091,"Roger was reading through his favorite book series. He had 30 books to read total. If he read 6 books each week, how many weeks would it take him to finish the series?","var1 = find(total books), var2 = find(books read per week), var3 = divide(var1, var2), CALL, return(var3)"
1460,"Amy had 2 dollars. If she got 13 more dollars for doing chores and 3 more for her birthday, how much money does she have now? ","var1 = find(starting dollars), var2 = find(dollars from chores), var3 = find(dollars from birthday), var4 = add(var1, var2), CALL, var5 = add(var4, var3), CALL, return(var5)"
427,Faye was placing 12 pencils equally into 3 rows.How many pencils did she place in each row?,"var1 = find(total pencils), var2 = find(number of rows), var3 = divide(var1, var2), CALL, return(var3)"
2292,"There are 43 dogs, 72 fish, and 34 cats at my farm. How many pets do I have at my farm?","var1 = find(dogs), var2 = find(fish), var1 = add(var1, var2), CALL, var2 = find(cats), var1 = add(var1, var2), CALL, return(var1)"
909,A pet store took ten birds out of a cage and had nine still left inside. How many birds were in the cage to start with? ,"var1 = find(birds left in cage), var2 = find(birds taken out), var3 = add(var1, var2), CALL, return(var3)"
2251,"Thanksgiving is coming and Dr. Mary wants to celebrate it by sharing her blessing to different charities. She first went to Oldtown where she donated $700.00 in total to three different nursing homes. If she gave $245.00 to the first home and $225.00 to the second, how much did she give to the third home?","var1 = find(total money donated to Oldtown), var2 = find(money donated to 1st home), var3 = find(money donated to 2nd home), var2 = add(var2, var3), CALL, var1 = subtract(var1, var2), CALL, return(var1)"
262,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day.How many oranges do they harvest per day if each sack contains 28 oranges?,"var1 = find(sacks per day), var2 = find(oranges per sack), var3 = multiply(var1, var2), CALL, return(var3)"
1747,Mrs. Hilt measured her bookcase. It was 48 inches long. How many feet long was the bookcase?,"var1 = find(bookcase length in inches), var2 = divide(var1, 12), CALL, return(var2)"
567,Rebecca wants to split a collection of eggs into groups of 5. Rebecca has 20 eggs and 6 marbles.How many more eggs does Rebecca have than marbles?,"var1 = find(eggs), var2 = find(marbles), var3 = subtract(var1, var2), CALL, return(var3)"
2297,"To have a more stable treehouse, Charlie's father decided to tie the corner posts of the house to the tree itself. He used 24 inches of rope for the first post, 20 inches on the second, 14 inches on the third and 12 inches on the fourth. How many inches of rope were used?","var1 = find(rope used for post 1), var2 = find(rope used for post 2), var1 = add(var1, var2), CALL, var2 = find(rope used for post 3), var1 = add(var1, var2), CALL, var2 = find(rope used for post 4), var1 = add(var1, var2), CALL, return(var1)"
