prompt,summary
Angela has 11 tickets. Annie gives Angela 4 more. How many tickets does Angela have in all?,"var1 = [find](number of tickets Angela has) #11, var2 = [find](number of additional tickets from Annie) #4, var3 = [add](var1, var2) # 11 + 4 = 15, [return](var3) # 15"
"A bicycle costs 500 yuan, and 0.8 is charged on the basis of the original price. Xiao Ming has a VIP card, and he can also charge 0.9. How much did Xiao Ming pay for this bike?","var1 = [find](original price of bike) #500, var2 = [multiply](var1, 0.8) # 500 * 0.8 = 400, var3 = [multiply](var2, 0.9) # 400 * 0.9 = 360, [return](var3) # 360"
Mom bought 45 apples and 9 pears. How many times are there more apples than pears?,"var1 = [find](number of apples) #45, var2 = [find](number of pears) #9, var3 = [divide](var1, var2) # 45/9 = 5, [return](var3) # 5"
Joseph has 67 candies. Kathy gives Joseph 38 more. How many candies does Joseph have in all?,"var1 = [find](number of candies Joseph has) #67, var2 = [find](number of candies Kathy gives) #38, var3 = [add](var1, var2) # 67 + 38 = 105, [return](var3) # 105"
"A helicopter travels 400 kilometers per hour, and a train travels 80 kilometers per hour. How many times does this helicopter travel kilometers per hour than the train?","var1 = [find](speed of helicopter) #400, var2 = [find](speed of train) #80, var3 = [divide](var1, var2) # 400 / 80 = 5, [return](var3) # 5"
Mrs. Hilt has 40 markers. They are divided equally into 7 packages. Mrs. Hilt wants to know how many markers are in each package?,"var1 = [find](markers) # 40, var2 = [find](packages) # 7, var3 = [divide](var1, var2) # 40 / 7 = 5.71 (rounded to 5), [return](var3) # 5"
Rachel picked three apples from her tree. Now the tree has four apples still on it. How many apples did the tree have to begin with? ,"var1 = [find](apples left on tree) # 4, var2 = [find](apples picked) # 3, var3 = [add](var1, var2) # 4 + 3 = 7, [return](var3) # 7"
Teacher buys 4 black pens and 4 blue pens for students as awards. How many pens does the teacher buy altogether?,"var1 = [find](black pens) # 4, var2 = [find](blue pens) # 4, var3 = [add](var1, var2) # 4 + 4 = 8, [return](var3) # 8"
"With flu season coming up, Lexi decides to make get-well-soon kits. She has 10 cans of chicken soup and 15 boxes of tissue, which she wants to use to make identical kits with no materials left over. What is the greatest number of get-well-soon kits Lexi can make?","var1 = [find](cans of soup) # 10, var2 = [find](boxes of tissue) # 15, var3 = [gcd](var1, var2) # [gcd](10, 15) = 5, [return](var3) # 5"
"While making desserts for a bake sale, Victor used 0.625 scoops of brown sugar as well as 0.25 scoops of white sugar. How much more brown sugar did Victor use?","var1 = [find](number of scoops of brown sugar used) #0.625, var2 = [find](number of scoops of white sugar used) #0.25, var3 = [subtract](var1, var2) # 0.625 - 0.25 = 0.375, [return](var3) # 0.375"
"At the baseball stadium the price for popcorn is $14.70 for 5 bags. If you wanted to buy 4 bags of popcorn, how much would it cost?","var1 = [find](5 bags price) # 14.70, var2 = [divide](var1, 5), var3 = [multiply](var2, 4) # (14.70 / 5) * 4 = 11.76, [return](var3) # 11.76"
There are 41 pencils in the drawer. Mike placed 30 more pencils in the drawer. How many pencils are now there in total?,"var1 = [find](number of pencils in drawer) #41, var2 = [find](number of pencils placed by Mike) #30, var3 = [add](var1, var2) #41 + 30 = 71, [return](var3) #71"
Fred has 709 green balloons. He gave Sandy 221 of the balloons. How many green balloons does he now have?,"var1 = [find](number of green balloons Fred has) #709, var2 = [find](number of green balloons given to Sandy) #221, var3 = [subtract](var1, var2) #709 - 221 = 488, [return](var3) #488"
Martin has 8 boxes of crayons. Each box holds 7 crayons. How many crayons does Martin have?,"var1 = [find](number of boxes of crayons) #8, var2 = [find](number of crayons per box) #7, var3 = [multiply](var1, var2) # 8 * 7 = 56, [return](var3) # 56"
"There are 15 goats, and the number of sheep is three times that of goats. How many goats and sheep are there altogether?","var1 = [find](number of goats) #15, var2 = [multiply](var1, 3) # 15 * 3 = 45, var3 = [add](var1, var2) # 15 + 45 = 60, [return](var3) # 60."
"From 3:00 pm to 6:00 pm, the third graders watered 906 trees in total. How many trees do they water per hour on average?","var1 = [find](total number of trees watered) #906, var2 = [find](total time in hours) #3, var3 = [divide](var1, var2) # 906 / 3 = 302, [return](var3) # 302"
"The chemical fertilizer plant planned to use 12,000 kWh of electricity in February, which actually saved (1/8). How much electricity is actually saved?","var1 = [find](planned electricity usage for February) #12,000 kWh, var2 = [find](fraction of electricity actually saved) #(1/8), var3 = [multiply](var1, var2) # 12000 * (1/8) = 1500 kWh, [return](var3) # 1500"
Each bag contains 23 pounds of oranges. How many pounds of oranges are in 45 bags?,"var1 = [find](pounds in each bag) # 23, var2 = [find](total number of bags) # 45, var3 = [multiply](var1, var2) # 23 * 45 = 1035, [return](var3) # 1035"
"There are 420 peach trees planted in the orchard, which are divided into 7 rows. How many trees are there on average in each row?","var1 = [find](number of peach trees) #420, var2 = [find](number of rows) #7, var3 = [divide](var1, var2) # 420 / 7 = 60, [return](var3) # 60"
"There are 22 people in the art group, and the number of people in the sports group is three times that of the art group. How many people are there in the two groups?","var1 = [find](number of people in art group) #22, var2 = [find](number of people in sports group) #3 * var1 # 3 * 22 = 66, var3 = [add](var1, var2) # 22 + 66 = 88, [return](var3) # 88"
"A bottle of beverage is 1.25 liters, and after drinking some, there is 0.75 liters left. How many liters did you drink?","var1 = [find](volume of full bottle) #1.25 liters, var2 = [find](volume of remaining beverage) #0.75 liters, var3 = [subtract](var1, var2) # 1.25 - 0.75 = 0.5, [return](var3) # 0.5"
A train departs from Beijing to Qingdao. It travels an average of 82 kilometers per hour and arrives in 10 hours. How far is the distance between the two places?,"var1 = [find](average speed of train) #82, var2 = [find](time taken for travel) #10, var3 = [multiply](var1, var2) # 82 * 10 = 820, [return](var3) # 820"
"Dad drove from Guiyang to Guangzhou, driving 60 kilometers per hour, and arrived in Guangzhou in 4 hours. How many kilometers is it from Guiyang to Guangzhou?","var1 = [find](speed of dad's car) #60, var2 = [find](time to travel from Guiyang to Guangzhou) #4, var3 = [multiply](var1, var2) # 60 * 4 = 240, [return](var3) # 240"
"Grandma Wang's house used 48 degrees of electricity last month. This month, it saves electricity (1/8) compared with last month. How much electricity is saved this month?","var1 = [find](electricity used last month) #48, var2 = [find](fraction of electricity saved) #(1/8), var3 = [multiply](var1, var2) # 48 * (1/8) = 6, [return](var3) # 6"
There are 3 more sections that are undeveloped. Each of the remaining sections has a land area of 2435 square feet. What is the total area of the undeveloped land?,"var1 = [find](square feet per section) # 2435, var2 = [find](number of sections) # 3, var1 = [multiply](var1, var2) # 2435 * 3 = 7305, [return](var1) # 7305"
Mrs. Sheridan has 11 cats. Mrs. Garrett has 24 cats. How many more cats does Mrs. Garrett have than Mrs. Sheridan?,"var1 = [find](number of cats Mrs. Sheridan has) #11, var2 = [find](number of cats Mrs. Garrett has) #24, var3 = [subtract](var2, var1) # 24 - 11 = 13, [return](var3) # 13"
"There are 96 literature and art books in the small library, the number of story books is (2/3) of the literature and art books, and the number of science and technology books is (1/4) of the story books. How many technical books are there?","var1 = [find](number of literature and art books) #96, var2 = [multiply](var1, 2/3) # 96 * 2/3 = 64, var3 = [divide](var2, 4) # 64 / 4 = 16, [return](var3) # 16"
"18 children were riding on the bus. At the bus stop, some more children got on the bus. Then there were 25 children altogether on the bus. How many children got on the bus at the bus stop?","var1 = [find](children in bus) # 18, var2 = [find](children in bus after more got on) # 25, var3 = [subtract](var2, var1) # 25 - 18 = 7, [return](var3) # 7"
"A pair of trousers is 98 yuan, and the price of a jacket is twice that of trousers. How much does it cost to buy such a set of clothes?","var1 = [find](price of trousers) #98, var2 = [multiply](var1, 2) # 98 * 2 = 196, var3 = [add](var1, var2) # 98 + 196 = 294, [return](var3) # 294"
"There are 1008 female workers in a certain factory, accounting for (2/3) of all workers in the factory. How many workers are there in total?","var1 = [find](number of female workers) #1008, var2 = [find](proportion of female workers) #(2/3), var3 = [divide](var1, var2) # 1008 / (2/3) = 1512, [return](var3) # 1512"
"The little squirrel picked 159 pine cones, and the mother squirrel picked 258 pine cones. How many pine cones did the little squirrel and mother squirrel pick together?","var1 = [find](number of pine cones picked by little squirrel) #159, var2 = [find](number of pine cones picked by mother squirrel) #258, var3 = [add](var1, var2) # 159 + 258 = 417, [return](var3) # 417"
"The circumference of a circular garden is 150 meters, and a tree is planted every 10 meters along the outer circle of the garden. How many trees can be planted in total.","var1 = [find](circumference of garden) #150, var2 = [find](distance between trees) #10, var3 = [divide](var1, var2) # 150 / 10 = 15, [return](var3) # 15"
Jovana had 5 pounds of shells in her bucket. She added some shells and now has 28 pounds of shells. How many pounds did she add?,"var1 = [find](Jovana had shells) # 5, var2 = [find](Jovana has shells) # 28, var3 = [subtract](var2, var1) # 28 - 5 = 23, [return](var3) # 23"
"The original price of a TV is 990 yuan, but the current price is 880 yuan. How much is it cheaper to buy a TV now than before?","var1 = [find](original price of TV) #990, var2 = [find](current price of TV) #880, var3 = [subtract](var1, var2) # 990 - 880 = 110, [return](var3) # 110"
The Litter Patrol picked up 10 glass bottles and 8 aluminum cans on Saturday. How many pieces of litter did they pick up altogether?,"var1 = [find](number of glass bottles) #10, var2 = [find](number of aluminum cans) #8, var3 = [add](var1, var2) # 10 + 8 = 18, [return](var3) # 18"
Mrs. Sheridan has 22 fish. Her sister gave her 47 more fish. How many fish does she have now?,"var1 = [find](Mrs. Sheridan has fish) # 22, var2 = [find](sister gave her more fish) # 47, var3 = [add](var1, var2) # 22 + 47 = 69, [return](var3) # 69"
"Congcong is 13 years old this year, and his grandfather is 12 years older than four times Congcong's age. How old is grandpa?","var1 = [find](Congcong's age) #13, var2 = [multiply](var1, 4) # 13 * 4 = 52, var3 = [add](var2, 12) # 52 + 12 = 64, [return](var3) # 64"
My car gets 20 miles per gallon of gas. How many miles can I drive on 5 gallons of gas?,"var1 = [find](miles per gallon of car) #20, var2 = [find](number of gallons of gas) #5, var3 = [multiply](var1, var2) # 20 * 5 = 100, [return](var3) # 100"
"The Richmond Tigers sold a total of 9570 tickets last season. If they sold 3867 tickets in the first half of the season, how many tickets did they sell in the second half?","var1 = [find](total tickets sold) #9570, var2 = [find](number of tickets sold in first half), #3867, var3 = [subtract](var1, var2) # 9570 - 3867 = 5703, [return](var3) # 5703"
There were 27 boys and 35 girls on the playground at recess. How many children were on the playground at recess?,"var1 = [find](number of boys) #27, var2 = [find](number of girls) #35, var3 = [add](var1, var2) # 27 + 35 = 62, [return](var3) # 62"
The price of a scarf after hitting 0.9 is 270 yuan. How much is the original price of this scarf?,"var1 = [find](price after discount) #270, var2 = [find](discount percentage) #0.9, var3 = [divide](var1, var2) # 270 / 0.9 = 300, [return](var3) # 300"
Victor had nine books. During the book fair he bought three more. How many books did Victor have total?,"var1 = [find](starting books) # 9, var2 = [find](book fair books) # 3, var1 = [add](var1, var2) # 9 + 3 = 12, [return](var1) # 12"
"Laverne has 20 baseballs and 15 basketballs. If she wants to divide them into identical groups without any balls left over, what is the greatest number of groups Laverne can make?","var1 = [find](""baseballs"") # 20, var2 = [find](""basketballs"") # 15, var3 = [find_gcd](var1, var2) # GCD(20,15) = 5, [return](var3) # 5"
"A furniture store had fifteen chairs. After selling some, there was three left. How many chairs did they sell? ","var1 = [find](total chairs) # 15, var2 = [find](left chairs) # 3, var3 = [subtract](var1, var2) # 15 - 3 = 12, [return](var3) # 12"
"Debby bought 355 bottles of water when they were on sale. If she drank 5 bottles a day, how many days would they last her?","var1 = [find](bottles of water) # 355, var2 = [find](bottles per day) # 5, var3 = [divide](var1, var2) # 355 / 5 = 71, [return](var3) # 71"
"Xiao Ming exercises rope skipping for 11 minutes every morning, and he jumps about 96 times per minute. How many times does he skip rope every day?","var1 = [find](length of rope skipping routine) #11, var2 = [find](jumps per minute) #96, var3 = [multiply](var1, var2) # 11 * 96 = 1056, [return](var3) #1056"
